"","Country","Date_confirmation","confirmed","suspected","cumulative_confirmed","cumulative_suspected","confirmed_suspected","cumulative_confirmed_suspected","pop2022","daily_confirmed_per_1M","daily_suspected_per_1M","daily_confirmed_suspected_per_1M","cumulative_confirmed_per_1M","cumulative_suspected_per_1M","cumulative_confirmed_suspected_per_1M","daily_confirmed_07d","daily_suspected_07d","daily_confirmed_suspected_07d"
"151","Chile",2022-06-21,1,0,3,0,1,3,19250195,0.05,0,0.05,0.16,0,0.16,3.14285714285714,0.285714285714286,3.42857142857143
"152","Chile",2022-07-08,1,0,14,1,1,15,19250195,0.05,0,0.05,0.73,0.05,0.78,3,0.142857142857143,3.14285714285714
"153","Chile",2022-06-30,0,1,8,1,1,9,19250195,0,0.05,0.05,0.42,0.05,0.47,1.71428571428571,0.142857142857143,1.85714285714286
"154","Chile",2022-07-11,2,0,16,1,2,17,19250195,0.1,0,0.1,0.83,0.05,0.88,1.42857142857143,0.142857142857143,1.57142857142857
"155","Chile",2022-06-20,1,0,2,0,1,2,19250195,0.05,0,0.05,0.1,0,0.1,2.14285714285714,0.142857142857143,2.28571428571429
"156","Chile",2022-07-04,4,0,13,1,4,14,19250195,0.21,0,0.21,0.68,0.05,0.73,2.14285714285714,0.142857142857143,2.28571428571429
"157","Chile",2022-06-17,1,0,1,0,1,1,19250195,0.05,0,0.05,0.05,0,0.05,2.71428571428571,0,2.71428571428571
"158","Chile",2022-07-26,6,0,45,2,6,47,19250195,0.31,0,0.31,2.34,0.1,2.44,2.71428571428571,0,2.71428571428571
"159","Chile",2022-06-26,1,0,8,0,1,8,19250195,0.05,0,0.05,0.42,0,0.42,2.85714285714286,0,2.85714285714286
"160","Chile",2022-07-15,4,0,24,1,4,25,19250195,0.21,0,0.21,1.25,0.05,1.3,2.42857142857143,0,2.42857142857143
"161","China",2022-07-12,2,0,2,0,2,2,1448471400,0,0,0,0,0,0,2.42857142857143,0,2.42857142857143
"162","Colombia",2022-07-02,2,0,5,0,2,5,51512762,0.04,0,0.04,0.1,0,0.1,1.85714285714286,0,1.85714285714286
"163","Colombia",2022-07-26,1,0,12,0,1,12,51512762,0.02,0,0.02,0.23,0,0.23,2.14285714285714,0,2.14285714285714
"164","Colombia",2022-07-25,1,0,11,0,1,11,51512762,0.02,0,0.02,0.21,0,0.21,2,0,2
"165","Colombia",2022-07-13,2,0,7,0,2,7,51512762,0.04,0,0.04,0.14,0,0.14,1.71428571428571,0.285714285714286,2
"166","Colombia",2022-06-23,3,0,3,0,3,3,51512762,0.06,0,0.06,0.06,0,0.06,1.71428571428571,0.285714285714286,2
"167","Colombia",2022-07-19,3,0,10,0,3,10,51512762,0.06,0,0.06,0.19,0,0.19,1.71428571428571,0.285714285714286,2
"168","Costa Rica",2022-07-27,0,2,3,2,2,5,5182354,0,0.39,0.39,0.58,0.39,0.96,2,0.285714285714286,2.28571428571429
"169","Costa Rica",2022-07-26,2,0,3,0,2,3,5182354,0.39,0,0.39,0.58,0,0.58,2.14285714285714,0.285714285714286,2.42857142857143
"170","Costa Rica",2022-07-20,1,0,1,0,1,1,5182354,0.19,0,0.19,0.19,0,0.19,2,0.285714285714286,2.28571428571429
"171","Croatia",2022-07-25,3,0,10,0,3,10,4059286,0.74,0,0.74,2.46,0,2.46,1.71428571428571,0.285714285714286,2
"172","Croatia",2022-07-18,3,0,6,0,3,6,4059286,0.74,0,0.74,1.48,0,1.48,1.85714285714286,0,1.85714285714286
"173","Croatia",2022-07-13,2,0,3,0,2,3,4059286,0.49,0,0.49,0.74,0,0.74,1.71428571428571,0,1.71428571428571
"174","Croatia",2022-06-23,1,0,1,0,1,1,4059286,0.25,0,0.25,0.25,0,0.25,1.71428571428571,0,1.71428571428571
"175","Croatia",2022-07-21,1,0,7,0,1,7,4059286,0.25,0,0.25,1.72,0,1.72,1.42857142857143,0,1.42857142857143
"176","Czech Republic",2022-07-07,1,0,10,0,1,10,10736784,0.09,0,0.09,0.93,0,0.93,1.14285714285714,0,1.14285714285714
"177","Czech Republic",2022-07-13,1,0,12,0,1,12,10736784,0.09,0,0.09,1.12,0,1.12,1,0,1
"178","Czech Republic",2022-05-24,1,0,1,0,1,1,10736784,0.09,0,0.09,0.09,0,0.09,1.14285714285714,0,1.14285714285714
"179","Czech Republic",2022-06-02,1,0,6,0,1,6,10736784,0.09,0,0.09,0.56,0,0.56,1.57142857142857,0,1.57142857142857
"180","Czech Republic",2022-06-22,1,0,7,0,1,7,10736784,0.09,0,0.09,0.65,0,0.65,1.57142857142857,0,1.57142857142857
"181","Czech Republic",2022-07-21,2,0,14,0,2,14,10736784,0.19,0,0.19,1.3,0,1.3,1.57142857142857,0,1.57142857142857
"182","Czech Republic",2022-05-26,4,0,5,0,4,5,10736784,0.37,0,0.37,0.47,0,0.47,1.57142857142857,0,1.57142857142857
"183","Czech Republic",2022-07-08,1,0,11,0,1,11,10736784,0.09,0,0.09,1.02,0,1.02,1.71428571428571,0,1.71428571428571
"184","Czech Republic",2022-07-04,1,0,9,0,1,9,10736784,0.09,0,0.09,0.84,0,0.84,1.85714285714286,0,1.85714285714286
"185","Czech Republic",2022-06-28,1,0,8,0,1,8,10736784,0.09,0,0.09,0.75,0,0.75,1.71428571428571,0,1.71428571428571
"186","Czech Republic",2022-07-22,2,0,16,0,2,16,10736784,0.19,0,0.19,1.49,0,1.49,1.42857142857143,0,1.42857142857143
